country;education_expenditure;youth_unemployment_rate;net_migration_rate;iso_code;region;income_group;lending_category;name;alpha.2;alpha.3;country.code;iso_3166.2;continent;sub.region;intermediate.region;region.code;sub.region.code;intermediate.region.code
1;Cuba;.;Syria;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2;Micronesia,;.;British;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
3;Solomon;.;Luxembourg;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
4;Montserrat;.;Cayman;.;.;.;.;Afghanistan;AF;AFG;4;ISO 3166-2:AF;Asia;Southern Asia;;142;34;.
5;Norway;.;Singapore;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
6;Denmark;.;Anguilla;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
7;Iceland;.;Bahrain;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
8;Sierra;.;Turks;.;.;.;.;Albania;AL;ALB;8;ISO 3166-2:AL;Europe;Southern Europe;;150;39;.
9;Belize;.;Aruba;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
10;Sweden;.;Monaco;.;.;.;.;Antarctica;AQ;ATA;10;ISO 3166-2:AQ;;;;.;.;.
11;Bolivia;.;Australia;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
12;Eswatini;.;New;.;.;.;.;Algeria;DZ;DZA;12;ISO 3166-2:DZ;Africa;Northern Africa;;2;15;.
13;Costa;.;Cyprus;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
14;Lesotho;.;United;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
15;Bhutan;.;Spain;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
16;Oman;.;Malta;.;.;.;.;American Samoa;AS;ASM;16;ISO 3166-2:AS;Oceania;Polynesia;;9;61;.
17;Timor-Leste;.;San;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
18;Tunisia;.;Qatar;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
19;South;.;Sint;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
20;Belgium;.;Canada;.;.;.;.;Andorra;AD;AND;20;ISO 3166-2:AD;Europe;Southern Europe;;150;39;.
21;Finland;.;Isle;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
22;Brazil;.;Sweden;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
23;New;.;Djibouti;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
24;Honduras;.;Liechtenstein;.;.;.;.;Angola;AO;AGO;24;ISO 3166-2:AO;Africa;Sub-Saharan Africa;Middle Africa;2;202;17
25;Israel;.;Belgium;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
26;Puerto;.;Saudi;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
27;Kyrgyzstan;.;Switzerland;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
28;Zimbabwe;.;Norway;.;.;.;.;Antigua and Barbuda;AG;ATG;28;ISO 3166-2:AG;Americas;Latin America and the Caribbean;Caribbean;19;419;29
29;Cyprus;.;Gabon;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
30;Saint;.;Ireland;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2018;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
31;Dominica;.;New;.;.;.;.;Azerbaijan;AZ;AZE;31;ISO 3166-2:AZ;Asia;Western Asia;;142;145;.
32;Argentina;.;Austria;.;.;.;.;Argentina;AR;ARG;32;ISO 3166-2:AR;Americas;Latin America and the Caribbean;South America;19;419;5
33;Aruba;.;Iceland;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
34;France;.;Macau;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
35;Guyana;.;Italy;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
36;Mozambique;.;United;.;.;.;.;Australia;AU;AUS;36;ISO 3166-2:AU;Oceania;Australia and New Zealand;;9;53;.
37;Austria;.;Botswana;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
38;Burkina;.;Denmark;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
39;Chile;.;Finland;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
40;Moldova;.;United;.;.;.;.;Austria;AT;AUT;40;ISO 3166-2:AT;Europe;Western Europe;;150;155;.
41;Togo;.;Brunei;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
42;Ukraine;.;Czechia;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
43;United;.;Jersey;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
44;Canada;.;Korea,;.;.;.;.;Bahamas;BS;BHS;44;ISO 3166-2:BS;Americas;Latin America and the Caribbean;Caribbean;19;419;29
45;Gaza;.;Ukraine;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
46;Kenya;.;Antigua;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
47;Uzbekistan;.;Israel;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
48;West;.;Guernsey;.;.;.;.;Bahrain;BH;BHR;48;ISO 3166-2:BH;Asia;Western Asia;;142;145;.
49;Cabo;.;Netherlands;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
50;Jamaica;.;Hong;.;.;.;.;Bangladesh;BD;BGD;50;ISO 3166-2:BD;Asia;Southern Asia;;142;34;.
51;Netherlands;.;Russia;.;.;.;.;Armenia;AM;ARM;51;ISO 3166-2:AM;Asia;Western Asia;;142;145;.
52;Tajikistan;.;Bermuda;.;.;.;.;Barbados;BB;BRB;52;ISO 3166-2:BB;Americas;Latin America and the Caribbean;Caribbean;19;419;29
53;Australia;.;Germany;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
54;Burundi;.;Slovenia;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
55;Nepal;.;Hungary;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
56;Sao;.;Cote;.;.;.;.;Belgium;BE;BEL;56;ISO 3166-2:BE;Europe;Western Europe;;150;155;.
57;Switzerland;.;Saint;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
58;Ecuador;.;France;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
59;Estonia;.;Seychelles;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
60;Portugal;.;Greece;.;.;.;.;Bermuda;BM;BMU;60;ISO 3166-2:BM;Americas;Northern America;;19;21;.
61;United;.;Palau;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
62;Uruguay;.;Costa;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
63;Curacao;.;Taiwan;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
64;Germany;.;Belarus;.;.;.;.;Bhutan;BT;BTN;64;ISO 3166-2:BT;Asia;Southern Asia;;142;34;.
65;Belarus;.;Suriname;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
66;Malta;.;Kazakhstan;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
67;Senegal;.;Macedonia;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
68;Slovenia;.;Benin;.;.;.;.;Bolivia;BO;BOL;68;ISO 3166-2:BO;Americas;Latin America and the Caribbean;South America;19;419;5
69;Cook;.;Chile;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
70;Ethiopia;.;Portugal;.;.;.;.;Bosnia And Herzegovina;BA;BIH;70;ISO 3166-2:BA;Europe;Southern Europe;;150;39;.
71;Hungary;.;Slovakia;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
72;Malawi;.;South;.;.;.;.;Botswana;BW;BWA;72;ISO 3166-2:BW;Africa;Sub-Saharan Africa;Southern Africa;2;202;18
73;Mauritius;.;Georgia;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
74;Russia;.;Andorra;.;.;.;.;Bouvet Island;BV;BVT;74;ISO 3166-2:BV;Americas;Latin America and the Caribbean;South America;19;419;5
75;Poland;.;Azerbaijan;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
76;Zambia;.;Bahamas,;.;.;.;.;Brazil;BR;BRA;76;ISO 3166-2:BR;Americas;Latin America and the Caribbean;South America;19;419;5
77;Colombia;.;Bhutan;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
78;Mexico;.;Central;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
79;Vanuatu;.;Ecuador;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
80;Barbados;.;Equatorial;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
81;Brunei;.;Faroe;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
82;Latvia;.;Guinea;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
83;Nicaragua;.;Guyana;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
84;Seychelles;.;India;.;.;.;.;Belize;BZ;BLZ;84;ISO 3166-2:BZ;Americas;Latin America and the Caribbean;Central America;19;419;13
85;Korea,;.;Japan;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
86;Turkey;.;Korea,;.;.;.;.;British Indian Ocean Territory;IO;IOT;86;ISO 3166-2:IO;Africa;Sub-Saharan Africa;Eastern Africa;2;202;14
87;Malaysia;.;Madagascar;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
88;Samoa;.;Malawi;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
89;Spain;.;Mauritius;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
90;Vietnam;.;Montserrat;.;.;.;.;Solomon Islands;SB;SLB;90;ISO 3166-2:SB;Oceania;Melanesia;;9;54;.
91;Afghanistan;.;Namibia;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
92;Bulgaria;.;Papua;.;.;.;.;Virgin Islands (British);VG;VGB;92;ISO 3166-2:VG;Americas;Latin America and the Caribbean;Caribbean;19;419;29
93;Maldives;.;Saint;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
94;Mongolia;.;Serbia;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
95;Thailand;.;Thailand;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
96;Ghana;.;Togo;.;.;.;.;Brunei Darussalam;BN;BRN;96;ISO 3166-2:BN;Asia;South-eastern Asia;;142;35;.
97;Iran;.;Zambia;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
98;Italy;.;Afghanistan;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
99;Croatia;.;Argentina;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
100;Czechia;.;Brazil;.;.;.;.;Bulgaria;BG;BGR;100;ISO 3166-2:BG;Europe;Eastern Europe;;150;151;.
101;Fiji;.;Chad;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
102;Slovakia;.;Panama;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
103;Hong;.;Paraguay;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
104;India;.;Angola;.;.;.;.;Myanmar;MM;MMR;104;ISO 3166-2:MM;Asia;South-eastern Asia;;142;35;.
105;Lithuania;.;Ethiopia;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
106;Mali;.;Kenya;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
107;Peru;.;Nigeria;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
108;Albania;.;Romania;.;.;.;.;Burundi;BI;BDI;108;ISO 3166-2:BI;Africa;Sub-Saharan Africa;Eastern Africa;2;202;14
109;Djibouti;.;South;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
110;El;.;Yemen;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
111;Indonesia;.;Barbados;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
112;Luxembourg;.;Bolivia;.;.;.;.;Belarus;BY;BLR;112;ISO 3166-2:BY;Europe;Eastern Europe;;150;151;.
113;San;.;Bulgaria;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
114;Serbia;.;Cambodia;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
115;Congo,;.;Cameroon;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
116;Georgia;.;Egypt;.;.;.;.;Cambodia;KH;KHM;116;ISO 3166-2:KH;Asia;South-eastern Asia;;142;35;.
117;Ireland;.;Iran;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
118;Niger;.;Malaysia;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
119;Angola;.;Poland;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
120;Paraguay;.;Vietnam;.;.;.;.;Cameroon;CM;CMR;120;ISO 3166-2:CM;Africa;Sub-Saharan Africa;Middle Africa;2;202;17
121;Tanzania;.;Bosnia;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
122;Cote;.;China;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
123;Saint;.;Oman;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
124;Andorra;.;Sudan;.;.;.;.;Canada;CA;CAN;124;ISO 3166-2:CA;Americas;Northern America;;19;21;.
125;Grenada;.;Tanzania;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
126;Guatemala;.;Iraq;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
127;Japan;.;Burkina;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
128;Panama;.;Cabo;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
129;Cameroon;.;Colombia;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
130;Jordan;.;French;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
131;Namibia;.;Libya;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
132;Romania;.;Niger;.;.;.;.;Cabo Verde;CV;CPV;132;ISO 3166-2:CV;Africa;Sub-Saharan Africa;Western Africa;2;202;11
133;Rwanda;.;Burundi;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
134;Turkmenistan;.;Mauritania;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
135;Benin;.;Mongolia;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
136;Laos;.;Algeria;.;.;.;.;Cayman Islands;KY;CYM;136;ISO 3166-2:KY;Americas;Latin America and the Caribbean;Caribbean;19;419;29
137;Pakistan;.;Congo,;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
138;Singapore;.;Congo,;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
139;Turks;.;Pakistan;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
140;Haiti;.;Uruguay;.;.;.;.;Central African Republic;CF;CAF;140;ISO 3166-2:CF;Africa;Sub-Saharan Africa;Middle Africa;2;202;17
141;Madagascar;.;Belize;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
142;Armenia;.;Croatia;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
143;Gabon;.;Laos;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
144;Macau;.;Indonesia;.;.;.;.;Sri Lanka;LK;LKA;144;ISO 3166-2:LK;Asia;Southern Asia;;142;34;.
145;Qatar;.;Tajikistan;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
146;Kazakhstan;.;Sierra;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
147;Liberia;.;Curacao;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
148;Liechtenstein;.;Senegal;.;.;.;.;Chad;TD;TCD;148;ISO 3166-2:TD;Africa;Sub-Saharan Africa;Middle Africa;2;202;17
149;Saint;.;Sri;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
150;Azerbaijan;.;Vanuatu;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
151;British;.;Burma;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
152;Chad;.;Honduras;.;.;.;.;Chile;CL;CHL;152;ISO 3166-2:CL;Americas;Latin America and the Caribbean;South America;19;419;5
153;Comoros;.;Tunisia;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
154;Lebanon;.;Gambia,;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
155;Gambia,;.;Ghana;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
156;Bahrain;.;Solomon;.;.;.;.;China;CN;CHN;156;ISO 3166-2:CN;Asia;Eastern Asia;;142;30;.
157;Guinea;.;Guatemala;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
158;Cambodia;.;Mozambique;.;.;.;.;Taiwan;TW;TWN;158;ISO 3166-2:TW;Asia;Eastern Asia;;142;30;.
159;Guinea-Bissau;.;Saint;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
160;Sri;.;Turkmenistan;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
161;Uganda;.;Kosovo;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
162;Burma;.;Peru;.;.;.;.;Christmas Island;CX;CXR;162;ISO 3166-2:CX;Oceania;Australia and New Zealand;;9;53;.
163;Mauritania;.;Philippines;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
