country;education_expenditure;youth_unemployment_rate;net_migration_rate;iso_code;region;income_group;lending_category;name;alpha.2;alpha.3;country.code;iso_3166.2;continent;sub.region;intermediate.region;region.code;sub.region.code;intermediate.region.code
ethiopia;.;25.2;.;ETH;Sub-Saharan Africa;Low income;IDA;.;.;.;.;.;.;.;.;.;.;.
yemen;.;24.5;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
jamaica;.;24.2;.;JAM;Latin America & Caribbean;Upper middle income;IBRD;.;.;.;.;.;.;.;.;.;.;.
zambia;.;24;.;ZMB;Sub-Saharan Africa;Lower middle income;IDA;.;.;.;.;.;.;.;.;.;.;.
mauritius;.;23.9;.;MUS;Sub-Saharan Africa;Upper middle income;IBRD;.;.;.;.;.;.;.;.;.;.;.
argentina;.;23.7;.;ARG;Latin America & Caribbean;Upper middle income;IBRD;.;.;.;.;.;.;.;.;.;.;.
croatia;.;23.7;.;HRV;Europe & Central Asia;High income;IBRD;.;.;.;.;.;.;.;.;.;.;.
india;.;22.5;.;IND;South Asia;Lower middle income;IBRD;.;.;.;.;.;.;.;.;.;.;.
morocco;.;22.2;.;MAR;Middle East & North Africa;Lower middle income;IBRD;.;.;.;.;.;.;.;.;.;.;.
guyana;.;21.5;.;GUY;Latin America & Caribbean;High income;IDA;.;.;.;.;.;.;.;.;.;.;.
nepal;.;21.4;.;NPL;South Asia;Lower middle income;IDA;.;.;.;.;.;.;.;.;.;.;.
sri lanka;.;21;.;LKA;South Asia;Lower middle income;IDA;.;.;.;.;.;.;.;.;.;.;.
france;.;20.8;.;FRA;Europe & Central Asia;High income;.;.;.;.;.;.;.;.;.;.;.;.
sao tome and principe;.;20.8;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
costa rica;.;20.6;.;CRI;Latin America & Caribbean;Upper middle income;IBRD;.;.;.;.;.;.;.;.;.;.;.
rwanda;.;20.6;.;RWA;Sub-Saharan Africa;Low income;IDA;.;.;.;.;.;.;.;.;.;.;.
tuvalu;.;20.6;.;TUV;East Asia & Pacific;Upper middle income;IDA;.;.;.;.;.;.;.;.;.;.;.
portugal;.;20.3;.;PRT;Europe & Central Asia;High income;.;.;.;.;.;.;.;.;.;.;.;.
cyprus;.;20.2;.;CYP;Europe & Central Asia;High income;.;.;.;.;.;.;.;.;.;.;.;.
turkey;.;20.2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
comoros;.;19.5;.;COM;Sub-Saharan Africa;Lower middle income;IDA;.;.;.;.;.;.;.;.;.;.;.
micronesia federated states of;.;18.9;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
colombia;.;18.5;.;COL;Latin America & Caribbean;Upper middle income;IBRD;.;.;.;.;.;.;.;.;.;.;.
laos;.;18.2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
chile;.;18.1;.;CHL;Latin America & Caribbean;High income;IBRD;.;.;.;.;.;.;.;.;.;.;.
ukraine;.;17.9;.;UKR;Europe & Central Asia;Upper middle income;IBRD;.;.;.;.;.;.;.;.;.;.;.
afghanistan;.;17.6;.;AFG;South Asia;Low income;IDA;.;.;.;.;.;.;.;.;.;.;.
kiribati;.;17.1;.;KIR;East Asia & Pacific;Lower middle income;IDA;.;.;.;.;.;.;.;.;.;.;.
finland;.;17;.;FIN;Europe & Central Asia;High income;.;.;.;.;.;.;.;.;.;.;.;.
russia;.;17;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
mali;.;16.9;.;MLI;Sub-Saharan Africa;Low income;IDA;.;.;.;.;.;.;.;.;.;.;.
mongolia;.;16.8;.;MNG;East Asia & Pacific;Upper middle income;IBRD;.;.;.;.;.;.;.;.;.;.;.
sweden;.;16.8;.;SWE;Europe & Central Asia;High income;.;.;.;.;.;.;.;.;.;.;.;.
indonesia;.;16.5;.;IDN;East Asia & Pacific;Upper middle income;IBRD;.;.;.;.;.;.;.;.;.;.;.
zimbabwe;.;16.5;.;ZWE;Sub-Saharan Africa;Lower middle income;Blend;.;.;.;.;.;.;.;.;.;.;.
romania;.;16.2;.;ROU;Europe & Central Asia;High income;IBRD;.;.;.;.;.;.;.;.;.;.;.
maldives;.;15.9;.;MDV;South Asia;Upper middle income;IDA;.;.;.;.;.;.;.;.;.;.;.
belgium;.;15.8;.;BEL;Europe & Central Asia;High income;.;.;.;.;.;.;.;.;.;.;.;.
fiji;.;15.4;.;FJI;East Asia & Pacific;Upper middle income;Blend;.;.;.;.;.;.;.;.;.;.;.
kuwait;.;15.4;.;KWT;Middle East & North Africa;High income;.;.;.;.;.;.;.;.;.;.;.;.
belize;.;15.3;.;BLZ;Latin America & Caribbean;Upper middle income;Blend;.;.;.;.;.;.;.;.;.;.;.
mauritania;.;15.2;.;MRT;Sub-Saharan Africa;Lower middle income;IDA;.;.;.;.;.;.;.;.;.;.;.
slovakia;.;14.9;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
uganda;.;14.8;.;UGA;Sub-Saharan Africa;Low income;IDA;.;.;.;.;.;.;.;.;.;.;.
peru;.;14.7;.;PER;Latin America & Caribbean;Upper middle income;IBRD;.;.;.;.;.;.;.;.;.;.;.
venezuela;.;14.6;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
paraguay;.;14.5;.;PRY;Latin America & Caribbean;Upper middle income;IBRD;.;.;.;.;.;.;.;.;.;.;.
kyrgyzstan;.;14.2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
luxembourg;.;14.2;.;LUX;Europe & Central Asia;High income;.;.;.;.;.;.;.;.;.;.;.;.
cayman islands;.;13.8;.;CYM;Latin America & Caribbean;High income;.;.;.;.;.;.;.;.;.;.;.;.
ireland;.;13.8;.;IRL;Europe & Central Asia;High income;.;.;.;.;.;.;.;.;.;.;.;.
nigeria;.;13.8;.;NGA;Sub-Saharan Africa;Lower middle income;Blend;.;.;.;.;.;.;.;.;.;.;.
oman;.;13.7;.;OMN;Middle East & North Africa;High income;.;.;.;.;.;.;.;.;.;.;.;.
dominican republic;.;13.5;.;DOM;Latin America & Caribbean;Upper middle income;IBRD;.;.;.;.;.;.;.;.;.;.;.
azerbaijan;.;13.4;.;AZE;Europe & Central Asia;Upper middle income;IBRD;.;.;.;.;.;.;.;.;.;.;.
suriname;.;13.4;.;SUR;Latin America & Caribbean;Upper middle income;Blend;.;.;.;.;.;.;.;.;.;.;.
timorleste;.;13.2;.;TLS;East Asia & Pacific;Lower middle income;Blend;.;.;.;.;.;.;.;.;.;.;.
gambia the;.;13.1;.;GMB;Sub-Saharan Africa;Low income;IDA;.;.;.;.;.;.;.;.;.;.;.
bangladesh;.;12.8;.;BGD;South Asia;Lower middle income;IDA;.;.;.;.;.;.;.;.;.;.;.
bulgaria;.;12.7;.;BGR;Europe & Central Asia;High income;IBRD;.;.;.;.;.;.;.;.;.;.;.
latvia;.;12.2;.;LVA;Europe & Central Asia;High income;.;.;.;.;.;.;.;.;.;.;.;.
australia;.;11.8;.;AUS;East Asia & Pacific;High income;.;.;.;.;.;.;.;.;.;.;.;.
estonia;.;11.8;.;EST;Europe & Central Asia;High income;.;.;.;.;.;.;.;.;.;.;.;.
poland;.;11.7;.;POL;Europe & Central Asia;High income;IBRD;.;.;.;.;.;.;.;.;.;.;.
seychelles;.;11.6;.;SYC;Sub-Saharan Africa;High income;IBRD;.;.;.;.;.;.;.;.;.;.;.
new zealand;.;11.5;.;NZL;East Asia & Pacific;High income;.;.;.;.;.;.;.;.;.;.;.;.
united kingdom;.;11.3;.;GBR;Europe & Central Asia;High income;.;.;.;.;.;.;.;.;.;.;.;.
canada;.;11.1;.;CAN;North America;High income;.;.;.;.;.;.;.;.;.;.;.;.
lithuania;.;11.1;.;LTU;Europe & Central Asia;High income;.;.;.;.;.;.;.;.;.;.;.;.
marshall islands;.;11;.;MHL;East Asia & Pacific;Upper middle income;IDA;.;.;.;.;.;.;.;.;.;.;.
bhutan;.;10.7;.;BTN;South Asia;Lower middle income;IDA;.;.;.;.;.;.;.;.;.;.;.
honduras;.;10.7;.;HND;Latin America & Caribbean;Lower middle income;IDA;.;.;.;.;.;.;.;.;.;.;.
belarus;.;10.6;.;BLR;Europe & Central Asia;Upper middle income;IBRD;.;.;.;.;.;.;.;.;.;.;.
malaysia;.;10.5;.;MYS;East Asia & Pacific;Upper middle income;IBRD;.;.;.;.;.;.;.;.;.;.;.
hungary;.;10.2;.;HUN;Europe & Central Asia;High income;.;.;.;.;.;.;.;.;.;.;.;.
korea south;.;10.2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
panama;.;10.2;.;PAN;Latin America & Caribbean;High income;IBRD;.;.;.;.;.;.;.;.;.;.;.
isle of man;.;10.1;.;IMN;Europe & Central Asia;High income;.;.;.;.;.;.;.;.;.;.;.;.
norway;.;9.7;.;NOR;Europe & Central Asia;High income;.;.;.;.;.;.;.;.;.;.;.;.
el salvador;.;9.6;.;SLV;Latin America & Caribbean;Upper middle income;IBRD;.;.;.;.;.;.;.;.;.;.;.
austria;.;9.4;.;AUT;Europe & Central Asia;High income;.;.;.;.;.;.;.;.;.;.;.;.
denmark;.;9.4;.;DNK;Europe & Central Asia;High income;.;.;.;.;.;.;.;.;.;.;.;.
sierra leone;.;9.4;.;SLE;Sub-Saharan Africa;Low income;IDA;.;.;.;.;.;.;.;.;.;.;.
ghana;.;9.1;.;GHA;Sub-Saharan Africa;Lower middle income;IDA;.;.;.;.;.;.;.;.;.;.;.
malta;.;9.1;.;MLT;Middle East & North Africa;High income;.;.;.;.;.;.;.;.;.;.;.;.
singapore;.;9.1;.;SGP;East Asia & Pacific;High income;.;.;.;.;.;.;.;.;.;.;.;.
slovenia;.;8.8;.;SVN;Europe & Central Asia;High income;.;.;.;.;.;.;.;.;.;.;.;.
burkina faso;.;8.7;.;BFA;Sub-Saharan Africa;Low income;IDA;.;.;.;.;.;.;.;.;.;.;.
congo democratic republic of the;.;8.7;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
hong kong;.;8.7;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
trinidad and tobago;.;8.7;.;TTO;Latin America & Caribbean;High income;IBRD;.;.;.;.;.;.;.;.;.;.;.
united states;.;8.6;.;USA;North America;High income;.;.;.;.;.;.;.;.;.;.;.;.
nicaragua;.;8.5;.;NIC;Latin America & Caribbean;Lower middle income;IDA;.;.;.;.;.;.;.;.;.;.;.
senegal;.;8.1;.;SEN;Sub-Saharan Africa;Lower middle income;IDA;.;.;.;.;.;.;.;.;.;.;.
ecuador;.;7.9;.;ECU;Latin America & Caribbean;Upper middle income;IBRD;.;.;.;.;.;.;.;.;.;.;.
switzerland;.;7.9;.;CHE;Europe & Central Asia;High income;.;.;.;.;.;.;.;.;.;.;.;.
pakistan;.;7.8;.;PAK;South Asia;Lower middle income;Blend;.;.;.;.;.;.;.;.;.;.;.
kenya;.;7.4;.;KEN;Sub-Saharan Africa;Lower middle income;Blend;.;.;.;.;.;.;.;.;.;.;.
moldova;.;7.4;.;MDA;Europe & Central Asia;Upper middle income;IBRD;.;.;.;.;.;.;.;.;.;.;.
mozambique;.;7.4;.;MOZ;Sub-Saharan Africa;Low income;IDA;.;.;.;.;.;.;.;.;.;.;.
israel;.;7.2;.;ISR;Middle East & North Africa;High income;.;.;.;.;.;.;.;.;.;.;.;.
netherlands;.;7.2;.;NLD;Europe & Central Asia;High income;.;.;.;.;.;.;.;.;.;.;.;.
bolivia;.;6.9;.;BOL;Latin America & Caribbean;Lower middle income;IBRD;.;.;.;.;.;.;.;.;.;.;.
mexico;.;6.9;.;MEX;Latin America & Caribbean;Upper middle income;IBRD;.;.;.;.;.;.;.;.;.;.;.
united arab emirates;.;6.9;.;ARE;Middle East & North Africa;High income;.;.;.;.;.;.;.;.;.;.;.;.
vietnam;.;6.9;.;VNM;East Asia & Pacific;Lower middle income;IBRD;.;.;.;.;.;.;.;.;.;.;.
czechia;.;6.7;.;CZE;Europe & Central Asia;High income;.;.;.;.;.;.;.;.;.;.;.;.
philippines;.;6.7;.;PHL;East Asia & Pacific;Lower middle income;IBRD;.;.;.;.;.;.;.;.;.;.;.
cameroon;.;6.3;.;CMR;Sub-Saharan Africa;Lower middle income;Blend;.;.;.;.;.;.;.;.;.;.;.
germany;.;6.2;.;DEU;Europe & Central Asia;High income;.;.;.;.;.;.;.;.;.;.;.;.
cuba;.;6.1;.;CUB;Latin America & Caribbean;Upper middle income;.;.;.;.;.;.;.;.;.;.;.;.
iceland;.;6.1;.;ISL;Europe & Central Asia;High income;.;.;.;.;.;.;.;.;.;.;.;.
benin;.;5.6;.;BEN;Sub-Saharan Africa;Lower middle income;IDA;.;.;.;.;.;.;.;.;.;.;.
palau;.;5.6;.;PLW;East Asia & Pacific;High income;IBRD;.;.;.;.;.;.;.;.;.;.;.
cote divoire;.;5.5;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
